sexo,grupo_edad,grupo_causa,causa,n
Femenino,70-79,ENT,ENT:SUST,109
Femenino,≥80 años,CE,CE:CA,1300
Femenino,≥80 años,CE,CE:OTR-CE,4272
Femenino,≥80 años,CE,CE:OTR-TRA,35
Femenino,≥80 años,CE,CE:SH,235
Femenino,≥80 años,CE,CE:TRA,592
Femenino,≥80 años,CE,CE:VI,189
Femenino,≥80 años,CMNN,CMNN:INF,38160
Femenino,≥80 años,CMNN,CMNN:MAT-NEO,0
Femenino,≥80 años,CMNN,CMNN:NUTR,4716
Femenino,≥80 años,ENT,ENT:CRD,39178
Femenino,≥80 años,ENT,ENT:DIG,21980
Femenino,≥80 años,ENT,ENT:DM-CKD,34211
Femenino,≥80 años,ENT,ENT:ECV,250149
Femenino,≥80 años,ENT,ENT:MUSC,1191
Femenino,≥80 años,ENT,ENT:NEU-MENT,34280
Femenino,≥80 años,ENT,ENT:NPL,111289
Femenino,≥80 años,ENT,ENT:OTR-ENT,26679
Femenino,≥80 años,ENT,ENT:PIEL,12193
Femenino,≥80 años,ENT,ENT:SUST,100
Masculino,<20 años,CE,CE:CA,199
Masculino,<20 años,CE,CE:OTR-CE,4867
Masculino,<20 años,CE,CE:OTR-TRA,191
Masculino,<20 años,CE,CE:SH,4342
Masculino,<20 años,CE,CE:TRA,6188
Masculino,<20 años,CE,CE:VI,3050
Masculino,<20 años,CMNN,CMNN:INF,3064
Masculino,<20 años,CMNN,CMNN:MAT-NEO,26389
Masculino,<20 años,CMNN,CMNN:NUTR,236
Masculino,<20 años,ENT,ENT:CRD,697
Masculino,<20 años,ENT,ENT:DIG,501
Masculino,<20 años,ENT,ENT:DM-CKD,261
Masculino,<20 años,ENT,ENT:ECV,1614
Masculino,<20 años,ENT,ENT:MUSC,90
Masculino,<20 años,ENT,ENT:NEU-MENT,1471
Masculino,<20 años,ENT,ENT:NPL,4979
Masculino,<20 años,ENT,ENT:OTR-ENT,17962
Masculino,<20 años,ENT,ENT:PIEL,95
Masculino,<20 años,ENT,ENT:SUST,40
Masculino,20-39,CE,CE:CA,625
Masculino,20-39,CE,CE:OTR-CE,5695
Masculino,20-39,CE,CE:OTR-TRA,806
Masculino,20-39,CE,CE:SH,16134
Masculino,20-39,CE,CE:TRA,20544
Masculino,20-39,CE,CE:VI,11491
Masculino,20-39,CMNN,CMNN:INF,8804
Masculino,20-39,CMNN,CMNN:MAT-NEO,0
Masculino,20-39,CMNN,CMNN:NUTR,122
Masculino,20-39,ENT,ENT:CRD,1312
Masculino,20-39,ENT,ENT:DIG,2659
Masculino,20-39,ENT,ENT:DM-CKD,1861
Masculino,20-39,ENT,ENT:ECV,9168
Masculino,20-39,ENT,ENT:MUSC,226
Masculino,20-39,ENT,ENT:NEU-MENT,1817
Masculino,20-39,ENT,ENT:NPL,12971
Masculino,20-39,ENT,ENT:OTR-ENT,1717
Masculino,20-39,ENT,ENT:PIEL,353
Masculino,20-39,ENT,ENT:SUST,329
Masculino,40-49,CE,CE:CA,405
Masculino,40-49,CE,CE:OTR-CE,2374
Masculino,40-49,CE,CE:OTR-TRA,315
Masculino,40-49,CE,CE:SH,4140
Masculino,40-49,CE,CE:TRA,6075
Masculino,40-49,CE,CE:VI,2555
Masculino,40-49,CMNN,CMNN:INF,11232
Masculino,40-49,CMNN,CMNN:MAT-NEO,0
Masculino,40-49,CMNN,CMNN:NUTR,127
Masculino,40-49,ENT,ENT:CRD,1635
Masculino,40-49,ENT,ENT:DIG,6714
Masculino,40-49,ENT,ENT:DM-CKD,3588
Masculino,40-49,ENT,ENT:ECV,19123
Masculino,40-49,ENT,ENT:MUSC,196
Masculino,40-49,ENT,ENT:NEU-MENT,1301
Masculino,40-49,ENT,ENT:NPL,19701
Masculino,40-49,ENT,ENT:OTR-ENT,1426
Masculino,40-49,ENT,ENT:PIEL,506
Masculino,40-49,ENT,ENT:SUST,860
Masculino,50-59,CE,CE:CA,486
Masculino,50-59,CE,CE:OTR-CE,2678
Masculino,50-59,CE,CE:OTR-TRA,250
Masculino,50-59,CE,CE:SH,3484
Masculino,50-59,CE,CE:TRA,5077
Masculino,50-59,CE,CE:VI,1632
Masculino,50-59,CMNN,CMNN:INF,17691
Masculino,50-59,CMNN,CMNN:MAT-NEO,0
Masculino,50-59,CMNN,CMNN:NUTR,282
Masculino,50-59,ENT,ENT:CRD,5683
Masculino,50-59,ENT,ENT:DIG,14772
Masculino,50-59,ENT,ENT:DM-CKD,10750
Masculino,50-59,ENT,ENT:ECV,50581
Masculino,50-59,ENT,ENT:MUSC,307
Masculino,50-59,ENT,ENT:NEU-MENT,2043
Masculino,50-59,ENT,ENT:NPL,58245
Masculino,50-59,ENT,ENT:OTR-ENT,2437
Masculino,50-59,ENT,ENT:PIEL,1051
Masculino,50-59,ENT,ENT:SUST,1462
Masculino,60-69,CE,CE:CA,558
Masculino,60-69,CE,CE:OTR-CE,3352
Masculino,60-69,CE,CE:OTR-TRA,215
Masculino,60-69,CE,CE:SH,3110
Masculino,60-69,CE,CE:TRA,4053
Masculino,60-69,CE,CE:VI,1129
Masculino,60-69,CMNN,CMNN:INF,27193
Masculino,60-69,CMNN,CMNN:MAT-NEO,0
Masculino,60-69,CMNN,CMNN:NUTR,696
Masculino,60-69,ENT,ENT:CRD,16952
Masculino,60-69,ENT,ENT:DIG,20887
Masculino,60-69,ENT,ENT:DM-CKD,23394
Masculino,60-69,ENT,ENT:ECV,100156
Masculino,60-69,ENT,ENT:MUSC,462
Masculino,60-69,ENT,ENT:NEU-MENT,3830
Masculino,60-69,ENT,ENT:NPL,121243
Masculino,60-69,ENT,ENT:OTR-ENT,4828
Masculino,60-69,ENT,ENT:PIEL,2237
Masculino,60-69,ENT,ENT:SUST,1658
Masculino,70-79,CE,CE:CA,525
Masculino,70-79,CE,CE:OTR-CE,3162
Masculino,70-79,CE,CE:OTR-TRA,108
Masculino,70-79,CE,CE:SH,2331
Masculino,70-79,CE,CE:TRA,2275
Masculino,70-79,CE,CE:VI,661
Masculino,70-79,CMNN,CMNN:INF,31377
Masculino,70-79,CMNN,CMNN:MAT-NEO,0
Masculino,70-79,CMNN,CMNN:NUTR,1398
Masculino,70-79,ENT,ENT:CRD,27592
Masculino,70-79,ENT,ENT:DIG,18520
Masculino,70-79,ENT,ENT:DM-CKD,29221
Masculino,70-79,ENT,ENT:ECV,133661
Masculino,70-79,ENT,ENT:MUSC,449
Masculino,70-79,ENT,ENT:NEU-MENT,7923
Masculino,70-79,ENT,ENT:NPL,136579
Masculino,70-79,ENT,ENT:OTR-ENT,8324
Masculino,70-79,ENT,ENT:PIEL,3418
Masculino,70-79,ENT,ENT:SUST,1010
Masculino,≥80 años,CE,CE:CA,735
Masculino,≥80 años,CE,CE:OTR-CE,2640
Masculino,≥80 años,CE,CE:OTR-TRA,57
Masculino,≥80 años,CE,CE:SH,1595
Masculino,≥80 años,CE,CE:TRA,940
Masculino,≥80 años,CE,CE:VI,366
Masculino,≥80 años,CMNN,CMNN:INF,29935
Masculino,≥80 años,CMNN,CMNN:MAT-NEO,0
Masculino,≥80 años,CMNN,CMNN:NUTR,2760
Masculino,≥80 años,ENT,ENT:CRD,32764
Masculino,≥80 años,ENT,ENT:DIG,13724
Masculino,≥80 años,ENT,ENT:DM-CKD,26854
Masculino,≥80 años,ENT,ENT:ECV,152768
Masculino,≥80 años,ENT,ENT:MUSC,336
Masculino,≥80 años,ENT,ENT:NEU-MENT,15269
Masculino,≥80 años,ENT,ENT:NPL,100171
Masculino,≥80 años,ENT,ENT:OTR-ENT,13710
Masculino,≥80 años,ENT,ENT:PIEL,4588
Masculino,≥80 años,ENT,ENT:SUST,299
