population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Toda la población,1,Muertes,1,Mundo,3,Ambos,22,Todas las edades,353,Equinococosis quística,2,Porcentaje,2023,2.2836089039395848e-05,3.0035752286919787e-05,1.6362570572508135e-05
1,Toda la población,1,Muertes,1,Mundo,3,Ambos,22,Todas las edades,357,Dengue,2,Porcentaje,2023,0.0008775953648512503,0.0018222631725630892,0.0004210110983621797
1,Toda la población,1,Muertes,1,Mundo,3,Ambos,22,Todas las edades,358,Fiebre amarilla,2,Porcentaje,2023,7.358999147558615e-05,0.00015389297641220064,2.5565690121878176e-05
1,Toda la población,1,Muertes,1,Mundo,3,Ambos,22,Todas las edades,359,Rabia,2,Porcentaje,2023,0.00026329152581777183,0.00045464380783585986,0.00011045535112578121
1,Toda la población,1,Muertes,1,Mundo,3,Ambos,22,Todas las edades,360,Infecciones intestinales por nemátodos,2,Porcentaje,2023,8.282319706114682e-05,0.0001023945997932421,6.416476876789569e-05
1,Toda la población,1,Muertes,1,Mundo,3,Ambos,22,Todas las edades,365,Otras enfermedades tropicales desatendidas,2,Porcentaje,2023,0.00043734736613196734,0.0007985855527503229,0.00021940535953614626
1,Toda la población,1,Muertes,1,Mundo,3,Ambos,22,Todas las edades,366,Maternas,2,Porcentaje,2023,0.003996239088651215,0.004661523206433423,0.003454046267695113
1,Toda la población,1,Muertes,1,Mundo,3,Ambos,22,Todas las edades,380,Desórdenes del periodo Neonatal,2,Porcentaje,2023,0.027115354574303276,0.02917406726877102,0.02503603007717781
1,Toda la población,1,Muertes,1,Mundo,3,Ambos,22,Todas las edades,297,Tuberculosis,2,Porcentaje,2023,0.01682852329274325,0.020742626793386704,0.01345917412566228
1,Toda la población,1,Muertes,1,Mundo,3,Ambos,22,Todas las edades,298,VIH/SIDA,2,Porcentaje,2023,0.013876818879183454,0.015938024381420533,0.012192970624487829
1,Toda la población,1,Muertes,1,Mundo,3,Ambos,22,Todas las edades,302,Enfermedades diarreicas,2,Porcentaje,2023,0.018437529833049224,0.02578303510994501,0.0136520222460632
1,Toda la población,1,Muertes,1,Mundo,3,Ambos,22,Todas las edades,321,Otras infecciones intestinales,2,Porcentaje,2023,3.227742456272208e-05,4.082989217941842e-05,2.409765565282366e-05
1,Toda la población,1,Muertes,1,Mundo,3,Ambos,22,Todas las edades,322,Infecciones respiratorias bajas,2,Porcentaje,2023,0.0416564784595853,0.04710264550833078,0.037379108271000806
1,Toda la población,1,Muertes,1,Mundo,3,Ambos,22,Todas las edades,328,Infecciones de vías respiratorias superiores,2,Porcentaje,2023,0.0004504963291637639,0.0012801360558847654,0.00010147846666851653
1,Toda la población,1,Muertes,1,Mundo,3,Ambos,22,Todas las edades,329,Otitis media,2,Porcentaje,2023,1.086559332225906e-05,2.807552401376525e-05,4.20733134371771e-06
1,Toda la población,1,Muertes,1,Mundo,3,Ambos,22,Todas las edades,332,Meningitis,2,Porcentaje,2023,0.004310446954955037,0.005594411646934528,0.0033587433223454333
1,Toda la población,1,Muertes,1,Mundo,3,Ambos,22,Todas las edades,337,Encefalitis,2,Porcentaje,2023,0.0012738443065508367,0.0018911943473618527,0.000905875931644884
1,Toda la población,1,Muertes,1,Mundo,3,Ambos,22,Todas las edades,338,Difteria,2,Porcentaje,2023,6.674055982306491e-05,8.846807381297398e-05,4.970974070091717e-05
1,Toda la población,1,Muertes,1,Mundo,3,Ambos,22,Todas las edades,339,Tosferina,2,Porcentaje,2023,0.0019192097606549718,0.0031704146399431296,0.0011138784229780625
1,Toda la población,1,Muertes,1,Mundo,3,Ambos,22,Todas las edades,340,Tétanos,2,Porcentaje,2023,0.0003290923892594591,0.0005177439006447797,0.0001951838585122005
1,Toda la población,1,Muertes,1,Mundo,3,Ambos,22,Todas las edades,341,Sarampión,2,Porcentaje,2023,0.0023920552959358753,0.004278981042571153,0.0009802821200857144
1,Toda la población,1,Muertes,1,Mundo,3,Ambos,22,Todas las edades,400,Hepatitis aguda,2,Porcentaje,2023,0.0015499820270800117,0.0020566720505347455,0.0011067790687672532
1,Toda la población,1,Muertes,1,Mundo,3,Ambos,22,Todas las edades,408,Otras enfermedades infecciosas,2,Porcentaje,2023,0.0019480425953769876,0.0032189527467667367,0.001092534356231732
1,Toda la población,1,Muertes,1,Mundo,3,Ambos,22,Todas las edades,411,Cáncer de esófago,2,Porcentaje,2023,0.009589030037241406,0.010633673152806776,0.00843745918403711
1,Toda la población,1,Muertes,1,Mundo,3,Ambos,22,Todas las edades,414,Cáncer de estómago,2,Porcentaje,2023,0.01555415245789984,0.017601621811586414,0.013285537949895777
1,Toda la población,1,Muertes,1,Mundo,3,Ambos,22,Todas las edades,417,Cáncer de hígado,2,Porcentaje,2023,0.008457918278189532,0.009545858326120298,0.007469516896452355
1,Toda la población,1,Muertes,1,Mundo,3,Ambos,22,Todas las edades,423,Cáncer de laringe,2,Porcentaje,2023,0.002177252025553279,0.002614482494212544,0.0018645078628085636
1,Toda la población,1,Muertes,1,Mundo,3,Ambos,22,Todas las edades,426,"Cáncer de tráquea, bronquios y pulmones",2,Porcentaje,2023,0.033884681515595545,0.0367577210472802,0.03100703154494093
